,region,signal timescale (s),hierarchy,li
0,VISp,0.15040119760479043,0,0
1,AUDp,0.10893750000000002,1,2
2,SSp-ll,0.11378378378378376,2,1
3,SSp-n,0.06974603174603176,4,1
4,SSp-ul,0.11885,5,1
5,SSp-m,0.08913888888888889,7,1
6,SSp-bfd,0.10739560439560442,9,1
7,SSs,0.10108727272727272,12,1
8,SSp-tr,0.1475268817204301,14,1
9,MOp,0.12591786179921774,16,1
10,RSPv,0.13522826086956521,19,4
11,RSPd,0.15015151515151515,20,4
12,GU,0.11403999999999999,21,3
13,ORBl,0.14886764705882355,27,5
14,AId,0.1668888888888889,28,3
15,VISpm,0.13755263157894737,29,4
16,PL,0.15341346153846155,31,5
17,VISa,0.13759384615384618,36,4
18,VISam,0.13172000000000003,37,4
19,MOs,0.17395336787564766,38,1
20,ORBvl,0.141064,39,5
21,ACAd,0.17814754098360655,41,5
